,Ws_avg
2013-07-03 21:00:00+00:00,5.836666733333334
2013-07-03 21:10:00+00:00,5.7600002
2013-07-03 21:20:00+00:00,5.23
2013-07-03 21:30:00+00:00,5.2000000250000005
2013-07-03 21:40:00+00:00,5.1700000500000005
2013-07-03 21:50:00+00:00,5.140000075
2013-07-03 22:00:00+00:00,5.1100001
2013-07-03 22:10:00+00:00,5.17500005
2013-07-03 22:20:00+00:00,5.24
2013-07-03 22:30:00+00:00,5.30499995
2013-07-03 22:40:00+00:00,5.3699999
2013-07-03 22:50:00+00:00,4.9899998
2013-07-03 23:00:00+00:00,5.7399998
2013-07-03 23:10:00+00:00,6.0999999
2013-07-03 23:20:00+00:00,5.5599999
2013-07-03 23:30:00+00:00,5.256666633333333
2013-07-03 23:40:00+00:00,4.953333366666667
2013-07-03 23:50:00+00:00,4.6500001
2013-07-04 00:00:00+00:00,4.7025001125
2013-07-04 00:10:00+00:00,4.755000125
2013-07-04 00:20:00+00:00,4.8075001375
2013-07-04 00:30:00+00:00,4.860000149999999
2013-07-04 00:40:00+00:00,4.9125001625
2013-07-04 00:50:00+00:00,4.965000175
2013-07-04 01:00:00+00:00,5.0175001875
2013-07-04 01:10:00+00:00,5.0700002
2013-07-04 01:20:00+00:00,4.9433335
2013-07-04 01:30:00+00:00,4.8166668
2013-07-04 01:40:00+00:00,4.6900001
2013-07-04 01:50:00+00:00,3.45
2013-07-04 02:00:00+00:00,4.05000005
2013-07-04 02:10:00+00:00,4.6500001
2013-07-04 02:20:00+00:00,4.6500001
2013-07-04 02:30:00+00:00,4.52999995
2013-07-04 02:40:00+00:00,4.4099998
2013-07-04 02:50:00+00:00,4.3299999
2013-07-04 03:00:00+00:00,4.22
2013-07-04 03:10:00+00:00,4.1100001
2013-07-04 03:20:00+00:00,4.1199999
2013-07-04 03:30:00+00:00,4.1700001
2013-07-04 03:40:00+00:00,4.156666766666667
2013-07-04 03:50:00+00:00,4.143333433333334
2013-07-04 04:00:00+00:00,4.1300001
2013-07-04 04:10:00+00:00,4.0375000750000005
2013-07-04 04:20:00+00:00,3.94500005
2013-07-04 04:30:00+00:00,3.852500025
2013-07-04 04:40:00+00:00,3.76
2013-07-04 04:50:00+00:00,3.272499975
2013-07-04 05:00:00+00:00,2.78499995
2013-07-04 05:10:00+00:00,2.297499925
2013-07-04 05:20:00+00:00,1.8099999
2013-07-04 05:30:00+00:00,2.6700001
2013-07-04 05:40:00+00:00,2.99
2013-07-04 05:50:00+00:00,2.90999995
2013-07-04 06:00:00+00:00,2.8299999
2013-07-04 06:10:00+00:00,3.1099999
2013-07-04 06:20:00+00:00,4.5599999
2013-07-04 06:30:00+00:00,4.0799999
2013-07-04 06:40:00+00:00,3.5999999
2013-07-04 06:50:00+00:00,3.7483332166666665
2013-07-04 07:00:00+00:00,3.896666533333333
2013-07-04 07:10:00+00:00,4.04499985
2013-07-04 07:20:00+00:00,4.193333166666666
2013-07-04 07:30:00+00:00,4.3416664833333325
2013-07-04 07:40:00+00:00,4.4899998
2013-07-04 07:50:00+00:00,4.623333166666667
2013-07-04 08:00:00+00:00,4.756666533333333
2013-07-04 08:10:00+00:00,4.8899999
2013-07-04 08:20:00+00:00,4.83500005
2013-07-04 08:30:00+00:00,4.7800002
2013-07-04 08:40:00+00:00,4.55500005
2013-07-04 08:50:00+00:00,4.3299999
2013-07-04 09:00:00+00:00,4.394999975
2013-07-04 09:10:00+00:00,4.46000005
2013-07-04 09:20:00+00:00,4.525000125
2013-07-04 09:30:00+00:00,4.5900002
2013-07-04 09:40:00+00:00,4.570000200000001
2013-07-04 09:50:00+00:00,4.5500002
2013-07-04 10:00:00+00:00,4.21500015
2013-07-04 10:10:00+00:00,3.8800001
2013-07-04 10:20:00+00:00,3.1100000000000003
2013-07-04 10:30:00+00:00,2.3399999
2013-07-04 10:40:00+00:00,2.0799999
2013-07-04 10:50:00+00:00,1.8199999
2013-07-04 11:00:00+00:00,1.5599999
2013-07-04 11:10:00+00:00,2.5699999
2013-07-04 11:20:00+00:00,2.5633332444444443
2013-07-04 11:30:00+00:00,2.5566665888888886
2013-07-04 11:40:00+00:00,2.5499999333333334
2013-07-04 11:50:00+00:00,2.5433332777777777
2013-07-04 12:00:00+00:00,2.536666622222222
2013-07-04 12:10:00+00:00,2.5299999666666664
2013-07-04 12:20:00+00:00,2.523333311111111
2013-07-04 12:30:00+00:00,2.5166666555555555
2013-07-04 12:40:00+00:00,2.51
2013-07-04 12:50:00+00:00,2.62
2013-07-04 13:00:00+00:00,2.73
2013-07-04 13:10:00+00:00,3.6200001
2013-07-04 13:20:00+00:00,4.5100002
2013-07-04 13:30:00+00:00,3.6100001
2013-07-04 13:40:00+00:00,2.71
2013-07-04 13:50:00+00:00,2.783333366666666
2013-07-04 14:00:00+00:00,2.8566667333333333
2013-07-04 14:10:00+00:00,2.9300001
2013-07-04 14:20:00+00:00,3.1787501
2013-07-04 14:30:00+00:00,3.4275001
2013-07-04 14:40:00+00:00,3.6762501
2013-07-04 14:50:00+00:00,3.9250001
2013-07-04 15:00:00+00:00,4.1737501
2013-07-04 15:10:00+00:00,4.422500100000001
2013-07-04 15:20:00+00:00,4.6712501
2013-07-04 15:30:00+00:00,4.9200001
2013-07-04 15:40:00+00:00,4.8200002
2013-07-04 15:50:00+00:00,4.7933334
2013-07-04 16:00:00+00:00,4.7666666
2013-07-04 16:10:00+00:00,4.7399998
2013-07-04 16:20:00+00:00,4.6149998
2013-07-04 16:30:00+00:00,4.4899998
2013-07-04 16:40:00+00:00,4.574999825
2013-07-04 16:50:00+00:00,4.65999985
2013-07-04 17:00:00+00:00,4.744999875
2013-07-04 17:10:00+00:00,4.8299999
2013-07-04 17:20:00+00:00,4.968333216666666
2013-07-04 17:30:00+00:00,5.106666533333333
2013-07-04 17:40:00+00:00,5.244999849999999
2013-07-04 17:50:00+00:00,5.383333166666667
2013-07-04 18:00:00+00:00,5.521666483333333
2013-07-04 18:10:00+00:00,5.6599998
2013-07-04 18:20:00+00:00,5.7066666
2013-07-04 18:30:00+00:00,5.7533334
2013-07-04 18:40:00+00:00,5.8000002
2013-07-04 18:50:00+00:00,5.5599999
2013-07-04 19:00:00+00:00,5.5100002
2013-07-04 19:10:00+00:00,5.3900002
2013-07-04 19:20:00+00:00,5.2700002
2013-07-04 19:30:00+00:00,5.1500002
2013-07-04 19:40:00+00:00,5.0300002
2013-07-04 19:50:00+00:00,5.2199998
2013-07-04 20:00:00+00:00,5.1999998
2013-07-04 20:10:00+00:00,5.1100001
2013-07-04 20:20:00+00:00,4.9299998
2013-07-04 20:30:00+00:00,4.7799998666666665
2013-07-04 20:40:00+00:00,4.629999933333334
2013-07-04 20:50:00+00:00,4.48
2013-07-04 21:00:00+00:00,4.3800001
2013-07-04 21:10:00+00:00,3.8199999
2013-07-04 21:20:00+00:00,3.77999995
2013-07-04 21:30:00+00:00,3.74
2013-07-04 21:40:00+00:00,2.605
2013-07-04 21:50:00+00:00,1.47
2013-07-04 22:00:00+00:00,1.6
2013-07-04 22:10:00+00:00,1.73
2013-07-04 22:20:00+00:00,1.86
2013-07-04 22:30:00+00:00,1.99
2013-07-04 22:40:00+00:00,2.12
2013-07-04 22:50:00+00:00,2.25
2013-07-04 23:00:00+00:00,2.38
2013-07-04 23:10:00+00:00,2.51
2013-07-04 23:20:00+00:00,2.34000005
2013-07-04 23:30:00+00:00,2.1700001
2013-07-04 23:40:00+00:00,2.18500005
2013-07-04 23:50:00+00:00,2.2
2013-07-05 00:00:00+00:00,0.57999998
2013-07-05 00:10:00+00:00,1.38
2013-07-05 00:20:00+00:00,0.69
2013-07-05 00:30:00+00:00,0.0
2013-07-05 00:40:00+00:00,0.3933333
2013-07-05 00:50:00+00:00,0.7866666000000001
2013-07-05 01:00:00+00:00,1.1799999
2013-07-05 01:10:00+00:00,1.7649998999999998
2013-07-05 01:20:00+00:00,2.3499999
2013-07-05 01:30:00+00:00,2.1600001
2013-07-05 01:40:00+00:00,2.196666733333333
2013-07-05 01:50:00+00:00,2.233333366666667
2013-07-05 02:00:00+00:00,2.27
2013-07-05 02:10:00+00:00,2.2350000000000003
2013-07-05 02:20:00+00:00,2.2
2013-07-05 02:30:00+00:00,1.8166666666666669
